newmoonnumber,censusdate,month,mo_diff,drop
356,3/25/2006,2006 Mar,1,drop
357,4/29/2006,2006 Apr,1,
358,5/27/2006,2006 May,1,
359,6/25/2006,2006 Jun,1,
360,7/22/2006,2006 Jul,1,
361,8/20/2006,2006 Aug,1,
362,9/23/2006,2006 Sep,1,
363,10/21/2006,2006 Oct,1,
364,11/18/2006,2006 Nov,1,
365,12/16/2006,2006 Dec,1,
366,1/21/2007,2007 Jan,1,
367,2/17/2007,2007 Feb,1,
368,3/17/2007,2007 Mar,1,
369,4/14/2007,2007 Apr,1,
370,5/19/2007,2007 May,1,
371,6/16/2007,2007 Jun,1,
372,7/14/2007,2007 Jul,1,
373,8/11/2007,2007 Aug,1,
374,9/8/2007,2007 Sep,1,
375,10/13/2007,2007 Oct,1,
376,11/10/2007,2007 Nov,1,
377,12/15/2007,2007 Dec,1,
378,1/12/2008,2008 Jan,1,
379,2/9/2008,2008 Feb,1,
380,3/9/2008,2008 Mar,1,
381,4/6/2008,2008 Apr,1,
382,5/3/2008,2008 May,1,
383,6/7/2008,2008 Jun,0,
384,6/28/2008,2008 Jun,1,drop
385,7/26/2008,2008 Jul,1,
386,8/30/2008,2008 Aug,1,
387,9/27/2008,2008 Sep,1,
388,10/26/2008,2008 Oct,1,
389,11/22/2008,2008 Nov,1,
390,12/20/2008,2008 Dec,1,
391,1/24/2009,2009 Jan,1,
392,2/21/2009,2009 Feb,1,
393,3/21/2009,2009 Mar,1,
394,4/26/2009,2009 Apr,1,
395,5/23/2009,2009 May,1,
396,6/20/2009,2009 Jun,1,
397,7/29/2009,2009 Jul,1,
398,8/22/2009,2009 Aug,1,
399,9/19/2009,2009 Sep,1,
400,10/17/2009,2009 Oct,1,
401,11/14/2009,2009 Nov,1,
402,12/12/2009,2009 Dec,1,
403,1/16/2010,2010 Jan,1,
404,2/13/2010,2010 Feb,1,
405,3/13/2010,2010 Mar,1,
406,4/17/2010,2010 Apr,1,
407,5/15/2010,2010 May,1,
408,6/12/2010,2010 Jun,1,
409,7/10/2010,2010 Jul,1,
410,8/9/2010,2010 Aug,1,
411,9/5/2010,2010 Sep,1,
412,10/7/2010,2010 Oct,1,
413,11/6/2010,2010 Nov,1,
414,12/5/2010,2010 Dec,1,
415,1/5/2011,2011 Jan,1,
416,2/5/2011,2011 Feb,1,
417,3/14/2011,2011 Mar,1,
418,4/2/2011,2011 Apr,1,
419,5/7/2011,2011 May,0,
420,5/26/2011,2011 Jun,2,
421,7/2/2011,2011 Jul,1,
422,8/6/2011,2011 Aug,0,
423,8/27/2011,2011 Sep,2,
424,10/1/2011,2011 Oct,0,
425,10/22/2011,2011 Oct,1,drop
426,11/24/2011,2011 Nov,1,
427,12/17/2011,2011 Dec,1,
428,1/21/2012,2012 Jan,1,
429,2/19/2012,2012 Feb,1,
430,3/12/2012,2012 Mar,1,
431,4/21/2012,2012 Apr,1,
432,5/26/2012,2012 May,1,
433,6/16/2012,2012 Jun,1,
434,7/28/2012,2012 Jul,1,
435,8/18/2012,2012 Aug,1,
436,9/15/2012,2012 Sep,1,
437,10/13/2012,2012 Oct,1,
438,11/10/2012,2012 Nov,1,
439,12/8/2012,2012 Dec,1,
440,1/12/2013,2013 Jan,1,
441,2/16/2013,2013 Feb,1,
442,3/13/2013,2013 Mar,1,
443,4/13/2013,2013 Apr,1,
444,5/11/2013,2013 May,1,
445,6/8/2013,2013 Jun,1,
446,7/6/2013,2013 Jul,1,
447,8/6/2013,2013 Aug,1,
448,9/14/2013,2013 Sep,1,
449,10/4/2013,2013 Oct,1,
450,11/2/2013,2013 Nov,1,
451,12/2/2013,2013 Dec,0,
452,12/29/2013,2014 Jan,2,
453,2/1/2014,2014 Feb,1,
454,3/1/2014,2014 Mar,0,
455,3/29/2014,2014 Mar,1,drop
456,4/26/2014,2014 Apr,1,
457,5/31/2014,2014 May,1,
458,6/28/2014,2014 Jun,2,
459,8/2/2014,2014 Jul,0,
460,8/30/2014,2014 Aug,1,
461,9/27/2014,2014 Sep,1,
462,10/25/2014,2014 Oct,1,
463,11/22/2014,2014 Nov,1,
464,12/13/2014,2014 Dec,1,
